"state","Undecided","poll_id","pollster","start_date","end_date","sample_subpopulation","sample_size","mode","partisanship","partisan_affiliation","reppoll","dempoll","libpoll","threepoll","grepoll","Other","repres","demres","libres","greres","daystoelection","perrep","perdem","perind","permultiracial","perwhite","perblack","perindig","perasian","perpacific","perother","perlatinx","popcit18plus","percit18plusmale","percit18plusfem","medage","perhsplus","perugplus","unemp","medhhincome","per2034","per3554","per5564","per65plus","singledadfam","singlemomfam","vets","bornstateres","forborncit","noneng","spanish","nonengsp","nonsplang","splang","forlang","meanhhincome","perfoodstamp","percapitainc","medearngap","perhealthins","perbelowpov","minblack","minlatinx","minother","femdomcit18plus","femdom","gunbckcheck","evangelical_pop","vepvotingrate","wideo","citi6013","w_gayrights_employment_discrimit","giexorder","gilaw","giexorder_law","soexorder","solaw","soexorder_law","guncontrol_assaultweapon_ban","guncontrol_opencarry","labor_minwage_abovefed","regulation_physician_suicide","earned_income_taxcredit","x_tax_rate_rich","x_top_corporateincometaxrate","genderrights_era_ratification","genderrights_state_eras","genrights_genddiscrim_post1964","statemin","employ_pop","pctwomenearn","death_penalty","w_ec_access","abortion_consent_1992_2014","w_abortion_parental_notice_1983_","abortion_medicaid","demties","repties","libties","greties"
"AL",0.07,25537,"Ipsos/Reuters",2016-08-26,2016-09-15,"Likely Voters",628,"Internet","Nonpartisan","None",0.53,0.4,0,0,0,0,0,0,0,0,54,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.07,25356,"WashPost/SurveyMonkey",2016-08-09,2016-09-01,"Registered Voters",958,"Internet","Nonpartisan","None",0.57,0.36,0,0,0,0,0,0,0,0,68,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AK",0.03,26807,"SurveyMonkey",2016-10-31,2016-11-07,"Likely Voters",409,"Internet","Nonpartisan","None",0.49,0.29,0.12,0,0,0.07,0,0,0,0,1,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.07,26793,"UPI/CVOTER",2016-10-30,2016-11-06,"Likely Voters",308,"Internet","Nonpartisan","None",0.53,0.41,0,0,0,0,0,0,0,0,2,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.01,26572,"SurveyMonkey",2016-10-24,2016-10-30,"Likely Voters",294,"Internet","Nonpartisan","None",0.47,0.39,0.11,0,0,0.02,0,0,0,0,9,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.04,26592,"UPI/CVOTER",2016-10-23,2016-10-29,"Likely Voters",304,"Internet","Nonpartisan","None",0.55,0.41,0,0,0,0,0,0,0,0,10,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0,26551,"Craciun Research (D)",2016-10-21,2016-10-26,"Likely Voters",400,"Live Phone","Pollster","Dem",0.43,0.47,0.07,0,0,0.03,0,0,0,0,13,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.02,26431,"SurveyMonkey",2016-10-17,2016-10-23,"Likely Voters",388,"Internet","Nonpartisan","None",0.47,0.29,0.17,0,0,0.05,0,0,0,0,16,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.18,26094,"Moore (R-Murkowski)",2016-10-05,2016-10-06,"Likely Voters",500,"Live Phone","Sponsor","Rep",0.37,0.34,0.1,0,0,0.02,0,0,0,0,33,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.12,26166,"Alaska Survey Research/Alaska Dispatch News",2016-09-28,2016-10-02,"Registered Voters",660,"Live Phone","Nonpartisan","None",0.46,0.42,0,0,0,0,0,0,0,0,37,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.16,26093,"Moore (R-Murkowski)",2016-09-13,2016-09-15,"Likely Voters",500,"Live Phone","Sponsor","Rep",0.39,0.31,0.09,0,0,0.04,0,0,0,0,54,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.14,25357,"WashPost/SurveyMonkey",2016-08-09,2016-09-01,"Registered Voters",989,"Internet","Nonpartisan","None",0.47,0.39,0,0,0,0,0,0,0,0,68,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AK",0.17,25407,"Moore (R-Murkowski)",2016-08-27,2016-08-29,"Likely Voters",500,"Live Phone","Sponsor","Rep",0.39,0.29,0.1,0,0,0.04,0,0,0,0,71,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0,0,0,0,0
"AZ",0.03,26807,"SurveyMonkey",2016-10-31,2016-11-07,"Likely Voters",2609,"Internet","Nonpartisan","None",0.43,0.45,0,0,0,0.03,0,0,0,0,1,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.01,26792,"Data Orbital (R)",2016-11-04,2016-11-06,"Likely Voters",550,"Live Phone","Pollster","Rep",0.47,0.44,0,0,0,0.04,0,0,0,0,2,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0,26793,"UPI/CVOTER",2016-10-30,2016-11-06,"Likely Voters",354,"Internet","Nonpartisan","None",0.5,0.43,0,0,0,0.07,0,0,0,0,2,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.11,26806,"Ipsos/Reuters",2016-10-17,2016-11-06,"Likely Voters",857,"Internet","Nonpartisan","None",0.47,0.42,0,0,0,0,0,0,0,0,2,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.07,26711,"Data Orbital (R)",2016-11-01,2016-11-02,"Likely Voters",550,"Live Phone","Pollster","Rep",0.47,0.39,0,0,0,0.04,0,0,0,0,6,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.02,26682,"NBC/WSJ/Marist",2016-10-30,2016-11-01,"Likely Voters",719,"Live Phone","Nonpartisan","None",0.46,0.41,0,0,0,0.12,0,0,0,0,7,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.06,26645,"Lucid/The Times-Picayune",2016-10-28,2016-11-01,"Likely Voters",1113,"Internet","Nonpartisan","None",0.42,0.41,0,0,0,0.03,0,0,0,0,7,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0,26620,"CNN",2016-10-27,2016-11-01,"Likely Voters",769,"Live Phone","Nonpartisan","None",0.49,0.44,0,0,0,0.01,0,0,0,0,7,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0,26651,"Saguaro",2016-10-29,2016-10-31,"Likely Voters",2229,"Internet","Nonpartisan","None",0.44,0.45,0,0,0,0.04,0,0,0,0,8,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.08,26599,"Data Orbital (R)",2016-10-29,2016-10-30,"Likely Voters",550,"Live Phone","Pollster","Rep",0.45,0.41,0,0,0,0.03,0,0,0,0,9,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.03,26572,"SurveyMonkey",2016-10-24,2016-10-30,"Likely Voters",1342,"Internet","Nonpartisan","None",0.43,0.43,0,0,0,0.03,0,0,0,0,9,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0,26592,"UPI/CVOTER",2016-10-23,2016-10-29,"Likely Voters",373,"Internet","Nonpartisan","None",0.51,0.43,0,0,0,0.05,0,0,0,0,10,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.05,26549,"CBS/YouGov",2016-10-26,2016-10-28,"Likely Voters",994,"Internet","Nonpartisan","None",0.44,0.42,0,0,0,0.09,0,0,0,0,11,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0.1,26536,"Data Orbital (R)",2016-10-26,2016-10-27,"Likely Voters",550,"Live Phone","Pollster","Rep",0.42,0.4,0,0,0,0.04,0,0,0,0,12,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
"AZ",0,26523,"Saguaro",2016-10-22,2016-10-24,"Likely Voters",2385,"Internet","Nonpartisan","None",0.46,0.48,0,0,0,0.01,0,0,0,0,15,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0
